Year,Month,Day,Time (in MPH),Speed
2020,10,18,14:24:17,<Direction.ENTER: 1>
2020,10,18,14:31:40,<Direction.ENTER: 1>
2020,10,18,14:31:40,<Direction.ENTER: 1>
2020,10,18,14:31:42,<Direction.ENTER: 1>
2020,10,18,14:31:42,<Direction.ENTER: 1>
2020,10,18,14:34:10,<Direction.ENTER: 1>
2020,10,18,14:35:27,<Direction.ENTER: 1>
2020,10,18,14:37:21,<Direction.ENTER: 1>
2020,10,18,14:37:23,<Direction.ENTER: 1>
2020,10,18,14:40:37,<Direction.ENTER: 1>
2020,10,18,14:40:40,<Direction.ENTER: 1>
2020,10,18,14:40:40,<Direction.ENTER: 1>
2020,10,18,14:41:21,<Direction.ENTER: 1>
2020,10,18,14:41:23,<Direction.ENTER: 1>
2020,10,18,14:42:01,<Direction.ENTER: 1>
2020,10,18,14:44:41,<Direction.ENTER: 1>
2020,10,18,14:45:14,<Direction.ENTER: 1>
2020,10,18,14:45:32,<Direction.ENTER: 1>
2020,10,18,14:46:34,<Direction.ENTER: 1>
2020,10,18,14:46:54,<Direction.ENTER: 1>
2020,10,18,14:50:27,<Direction.ENTER: 1>
2020,10,18,14:50:31,<Direction.ENTER: 1>
2020,10,18,14:50:54,<Direction.ENTER: 1>
2020,10,18,14:50:55,<Direction.ENTER: 1>
2020,10,18,14:50:57,<Direction.ENTER: 1>
2020,10,18,14:51:35,<Direction.ENTER: 1>
2020,10,18,14:51:45,<Direction.ENTER: 1>
2020,10,18,14:51:46,<Direction.ENTER: 1>
2020,10,18,14:52:00,<Direction.ENTER: 1>
2020,10,18,14:52:02,<Direction.ENTER: 1>
2020,10,18,14:54:48,<Direction.ENTER: 1>
2020,10,18,14:59:47,<Direction.ENTER: 1>
2020,10,18,14:59:48,<Direction.ENTER: 1>
2020,10,18,14:59:48,<Direction.ENTER: 1>
2020,10,18,15:03:00,<Direction.ENTER: 1>
2020,10,18,15:03:36,<Direction.ENTER: 1>
2020,10,18,15:03:40,<Direction.ENTER: 1>
2020,10,18,15:04:40,<Direction.ENTER: 1>
2020,10,18,15:04:41,<Direction.ENTER: 1>
2020,10,18,15:11:23,<Direction.ENTER: 1>
2020,10,18,15:12:17,<Direction.ENTER: 1>
2020,10,18,15:12:19,<Direction.ENTER: 1>
2020,10,18,15:12:19,<Direction.ENTER: 1>
2020,10,18,15:13:25,<Direction.ENTER: 1>
2020,10,18,15:13:50,<Direction.ENTER: 1>
2020,10,18,15:13:51,<Direction.ENTER: 1>
2020,10,18,15:13:52,<Direction.ENTER: 1>
2020,10,18,15:14:14,<Direction.ENTER: 1>
2020,10,18,15:14:15,<Direction.ENTER: 1>
2020,10,18,15:14:15,<Direction.ENTER: 1>
2020,10,18,15:14:55,<Direction.ENTER: 1>
2020,10,18,15:15:57,<Direction.ENTER: 1>
2020,10,18,15:16:00,<Direction.ENTER: 1>
2020,10,18,15:16:32,<Direction.ENTER: 1>
2020,10,18,15:18:19,<Direction.ENTER: 1>
2020,10,18,15:19:06,<Direction.ENTER: 1>
2020,10,18,15:19:08,<Direction.ENTER: 1>
2020,10,18,15:19:08,<Direction.ENTER: 1>
2020,10,18,15:21:24,<Direction.ENTER: 1>
2020,10,18,15:21:49,<Direction.ENTER: 1>
2020,10,18,15:21:49,<Direction.ENTER: 1>
2020,10,18,15:22:39,<Direction.ENTER: 1>
2020,10,18,15:22:39,<Direction.ENTER: 1>
2020,10,18,15:25:20,<Direction.ENTER: 1>
2020,10,18,15:25:21,<Direction.ENTER: 1>
